City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Coolum Beach,AU,80.11,few clouds,-26.5333,153.1,Coolum Beach Resort
587,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
591,Ha Giang,VN,76.93,clear sky,22.8333,104.9833,Truong Xuan Resort
599,Masvingo,ZW,81.05,broken clouds,-20.0637,30.8277,River Side Lodge
601,Kismayo,SO,82.18,broken clouds,-0.3582,42.5454,Agan-Hotel
606,Luganville,VU,81.66,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
609,Sao Jose De Ribamar,BR,79.18,light rain,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
610,Tambacounda,SN,75.25,clear sky,13.7539,-13.7586,
611,Eyl,SO,81.01,broken clouds,7.9803,49.8164,Amiin Hotel
614,Hinganghat,IN,76.41,scattered clouds,20.5667,78.8333,RuPeSH MeNDHe ReSiDeNCe.
617,Balikpapan,ID,78.4,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
619,Iralaya,HN,75.58,few clouds,15.0,-83.2333,Iglesia morava renovada
625,Qiongshan,CN,80.58,scattered clouds,20.0058,110.3542,Sun City Restaurant
629,Malinyi,TZ,79.81,overcast clouds,-8.9333,36.1333,
633,Mocuba,MZ,84.54,overcast clouds,-16.8392,36.9856,Phama Lodge
637,Angoche,MZ,84.88,scattered clouds,-16.2325,39.9086,Guest House HESADA
638,Lhokseumawe,ID,83.93,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
640,Sembakung,ID,85.93,overcast clouds,3.8167,117.25,
641,Marsabit,KE,75.96,broken clouds,2.3284,37.9899,Chicho Hotel
643,Xam Nua,LA,83.23,clear sky,20.4197,104.0439,Xee Wang Guesthouse
644,Vangaindrano,MG,84.29,broken clouds,-23.35,47.6,Hotel Fanilo
656,Santa Rita,BR,75.87,few clouds,-7.1139,-34.9781,Infinity Motel
